source,song,artist,host_link,pdf_link,filename,filepath,songhtml
http://pianotte.szm.com/C.htm,Chain Of Fools,Aretha Franklin,http://dohost.co/FILEX/C/81ke8f2y89/aretha_franklin--chain_of_fools.htm,http://forpiano.com/FILEX/C/81ke8f2y89/aretha_franklin--chain_of_fools.pdf,aretha_franklin--chain_of_fools.pdf,/sheetmusic/aretha_franklin--chain_of_fools.pdf,"<a href=""/sheetmusic/aretha_franklin--chain_of_fools.pdf"" target=""_blank"">Chain Of Fools</a>"
http://pianotte.szm.com/R.htm,Respect,Aretha Franklin,http://dohost.co/FILEX/R/2xid2w8923/aretha_franklin--respect.htm,http://forpiano.com/FILEX/R/2xid2w8923/aretha_franklin--respect.pdf,aretha_franklin--respect.pdf,/sheetmusic/aretha_franklin--respect.pdf,"<a href=""/sheetmusic/aretha_franklin--respect.pdf"" target=""_blank"">Respect</a>"
http://pianotte.szm.com/A.htm,Always,Atlantic Starr,http://dohost.co/FILEX/A/8d0v8s8v0a/atlantic_starr--always.htm,http://www.forpiano.com/FILEX/A/8d0v8s8v0a/atlantic_starr--always.pdf,atlantic_starr--always.pdf,/sheetmusic/atlantic_starr--always.pdf,"<a href=""/sheetmusic/atlantic_starr--always.pdf"" target=""_blank"">Always</a>"
http://pianotte.szm.com/T.htm,The Tide Is High,Atomic Kitten,http://dohost.co/FILEX/T/k2di2nxp9f/atomic_kitten--the_tide_is_high.htm,http://forpiano.com/FILEX/T/k2di2nxp9f/atomic_kitten--the_tide_is_high.pdf,atomic_kitten--the_tide_is_high.pdf,/sheetmusic/atomic_kitten--the_tide_is_high.pdf,"<a href=""/sheetmusic/atomic_kitten--the_tide_is_high.pdf"" target=""_blank"">The Tide Is High</a>"
http://pianotte.szm.com/C.htm,Complicated,Avril Lavigne,http://dohost.co/FILEX/C/81ke8f2y89/avril_lavigne--complicated.htm,http://forpiano.com/FILEX/C/81ke8f2y89/avril_lavigne--complicated.pdf,avril_lavigne--complicated.pdf,/sheetmusic/avril_lavigne--complicated.pdf,"<a href=""/sheetmusic/avril_lavigne--complicated.pdf"" target=""_blank"">Complicated</a>"
http://pianotte.szm.com/I.htm,I`M With You,Avril Lavigne,http://dohost.co/FILEX/I/s092dhu9sk/avril_lavigne--im_with_you.htm,http://forpiano.com/FILEX/I/s092dhu9sk/avril_lavigne--im_with_you.pdf,avril_lavigne--im_with_you.pdf,/sheetmusic/avril_lavigne--im_with_you.pdf,"<a href=""/sheetmusic/avril_lavigne--im_with_you.pdf"" target=""_blank"">I`M With You</a>"
http://pianotte.szm.com/C.htm,C'est La Vie,B,http://dohost.co/FILEX/C/81ke8f2y89/b_witched--cest_la_vie.htm,http://forpiano.com/FILEX/C/01ke8f2y89/b_witched--cest_la_vie.pdf,b_witched--cest_la_vie.pdf,/sheetmusic/b_witched--cest_la_vie.pdf,"<a href=""/sheetmusic/b_witched--cest_la_vie.pdf"" target=""_blank"">C'est La Vie</a>"
http://pianotte.szm.com/R.htm,Rollercoaster,B,http://dohost.co/FILEX/R/2xid2w8923/b_witched--rollercoaster.htm,http://forpiano.com/FILEX/R/2xid2w8923/b_witched--rollercoaster.pdf,b_witched--rollercoaster.pdf,/sheetmusic/b_witched--rollercoaster.pdf,"<a href=""/sheetmusic/b_witched--rollercoaster.pdf"" target=""_blank"">Rollercoaster</a>"
http://pianotte.szm.com/I.htm,Incomplete,"Backstreet
  Boys",http://dohost.co/FILEX/I/s092dhu9sk/backstreet_boys--incomplete.htm,http://forpiano.com/FILEX/I/s092dhu9sk/backstreet_boys--incomplete.pdf,backstreet_boys--incomplete.pdf,/sheetmusic/backstreet_boys--incomplete.pdf,"<a href=""/sheetmusic/backstreet_boys--incomplete.pdf"" target=""_blank"">Incomplete</a>"
http://pianotte.szm.com/A.htm,All I Have To Give,Backstreet Boys,http://dohost.co/FILEX/A/8d0v8s8v0a/backstreet_boys--all_i_have_to_give.htm,http://www.forpiano.com/FILEX/A/8d0v8s8v0a/backstreet_boys--all_i_have_to_give.pdf,backstreet_boys--all_i_have_to_give.pdf,/sheetmusic/backstreet_boys--all_i_have_to_give.pdf,"<a href=""/sheetmusic/backstreet_boys--all_i_have_to_give.pdf"" target=""_blank"">All I Have To Give</a>"
http://pianotte.szm.com/A.htm,As Long As You Love Me,Backstreet Boys,http://dohost.co/FILEX/A/8d0v8s8v0a/backstreet_boys--as_long_as_you_love_me.htm,http://www.sesimo.com/FILES/A/8d0v8s8v0a/backstreet_boys--as_long_as_you_love_me.pdf,backstreet_boys--as_long_as_you_love_me.pdf,/sheetmusic/backstreet_boys--as_long_as_you_love_me.pdf,"<a href=""/sheetmusic/backstreet_boys--as_long_as_you_love_me.pdf"" target=""_blank"">As Long As You Love Me</a>"
http://pianotte.szm.com/D.htm,Drowning,Backstreet Boys,http://dohost.co/FILEX/D/d93l2u9d6u/backstreet_boys--drowning.htm,http://forpiano.com/FILEX/D/d93l2u9d6u/backstreet_boys--drowning.pdf,backstreet_boys--drowning.pdf,/sheetmusic/backstreet_boys--drowning.pdf,"<a href=""/sheetmusic/backstreet_boys--drowning.pdf"" target=""_blank"">Drowning</a>"
